Date,Open,High,Low,Close,Volume,Adj Close
2015-12-09,5.58,5.58,5.58,5.58,100,5.58
2015-12-08,5.51,5.64,5.50,5.63,26900,5.63
2015-12-07,5.64,5.64,5.64,5.64,200,5.64
2015-12-04,5.59,5.75,5.59,5.63,13700,5.63
2015-12-03,5.75,5.75,5.74,5.74,300,5.74
2015-12-02,5.77,5.77,5.74,5.75,3100,5.75
2015-12-01,5.559,5.89,5.559,5.70,7800,5.70
2015-11-30,5.05,5.55,5.05,5.50,15300,5.50
2015-11-27,5.30,5.30,5.30,5.30,000,5.30
2015-11-25,5.22,5.32,5.17,5.30,17100,5.30
2015-11-24,5.25,5.25,5.05,5.174,6700,5.174
2015-11-23,4.849,5.20,4.75,5.20,20500,5.20
2015-11-20,4.87,4.87,4.71,4.71,7800,4.71
2015-11-19,5.00,5.09,5.00,5.01,12800,5.01
2015-11-18,4.64,5.00,4.64,4.90,27200,4.90
2015-11-17,4.609,4.609,4.609,4.609,2200,4.609
2015-11-16,4.45,4.60,4.45,4.60,3700,4.60
2015-11-13,4.90,5.27,4.90,4.90,8700,4.90
2015-11-12,4.75,4.85,4.75,4.85,1654800,4.85
2015-11-11,4.786,4.786,4.786,4.786,000,4.786
2015-11-10,4.786,4.786,4.786,4.786,300,4.786
2015-11-09,4.50,4.77,4.49,4.77,23400,4.77
2015-11-06,4.49,4.512,4.34,4.51,13100,4.51
2015-11-05,4.50,4.51,4.303,4.49,8600,4.49
2015-11-04,4.35,4.70,4.35,4.62,39800,4.62
2015-11-03,4.29,4.51,4.21,4.50,57800,4.50
2015-11-02,4.50,4.50,4.28,4.37,11900,4.37
2015-10-30,4.70,4.70,4.30,4.37,17300,4.37
2015-10-29,4.81,4.86,4.81,4.82,400,4.82
2015-10-28,4.706,4.81,4.70,4.81,4300,4.81
2015-10-27,4.80,4.80,4.80,4.80,300,4.80
2015-10-26,4.809,4.809,4.799,4.799,500,4.799
2015-10-23,4.86,4.86,4.86,4.86,000,4.86
2015-10-22,4.83,4.86,4.83,4.86,1500,4.86
2015-10-21,4.81,4.81,4.81,4.81,1100,4.81
2015-10-20,4.82,4.82,4.82,4.82,100,4.82
2015-10-19,4.69,4.69,4.69,4.69,300,4.69
2015-10-16,4.65,4.67,4.65,4.67,2800,4.67
2015-10-15,4.77,4.77,4.77,4.77,000,4.77
2015-10-14,4.77,4.77,4.77,4.77,100,4.77
2015-10-13,4.79,4.79,4.79,4.79,1600,4.79
2015-10-12,4.80,4.80,4.65,4.78,2100,4.78
2015-10-09,4.92,4.92,4.92,4.92,100,4.92
2015-10-08,4.90,4.90,4.90,4.90,400,4.90
2015-10-07,4.81,4.81,4.81,4.81,000,4.81
2015-10-06,4.80,4.81,4.73,4.81,1900,4.81
2015-10-05,4.77,4.77,4.59,4.65,3900,4.65
2015-10-02,4.84,4.84,4.72,4.74,1700,4.74
2015-10-01,4.862,4.862,4.70,4.70,1900,4.70
2015-09-30,4.839,4.839,4.73,4.73,2700,4.73
2015-09-29,4.85,4.85,4.714,4.714,200,4.714
2015-09-28,4.70,4.70,4.70,4.70,100,4.70
2015-09-25,4.74,4.89,4.74,4.75,4300,4.75
2015-09-24,4.70,4.80,4.70,4.76,8400,4.76
2015-09-23,5.30,5.40,4.71,4.86,15400,4.86
2015-09-22,5.45,5.60,5.33,5.33,13500,5.33
2015-09-21,5.88,5.88,5.40,5.55,23200,5.55
2015-09-18,4.84,6.08,4.60,6.08,127700,6.08
2015-09-17,4.82,5.00,4.82,4.90,10000,4.90
2015-09-16,4.94,4.95,4.82,4.93,3700,4.93
2015-09-15,4.85,4.87,4.80,4.80,13500,4.80
2015-09-14,4.68,4.72,4.67,4.67,4800,4.67
2015-09-11,4.55,4.69,4.55,4.60,5500,4.60
2015-09-10,4.53,4.69,4.53,4.61,4200,4.61
2015-09-09,4.83,4.83,4.56,4.56,4700,4.56
2015-09-08,4.82,4.86,4.70,4.70,3500,4.70
2015-09-04,4.95,4.95,4.82,4.95,900,4.95
2015-09-03,4.97,4.97,4.942,4.95,1700,4.95
2015-09-02,4.90,4.95,4.90,4.91,4600,4.91
2015-09-01,4.90,4.90,4.73,4.90,7100,4.90
2015-08-31,4.90,4.90,4.72,4.83,1600,4.83
2015-08-28,4.90,5.00,4.85,4.85,800,4.85
2015-08-27,4.98,5.02,4.90,4.90,10200,4.90
2015-08-26,4.91,4.91,4.85,4.90,2800,4.90
2015-08-25,4.70,5.10,4.70,5.00,16600,5.00
2015-08-24,4.70,4.71,4.50,4.50,5200,4.50
2015-08-21,4.70,4.71,4.58,4.70,6000,4.70
2015-08-20,4.87,4.87,4.60,4.70,14800,4.70
2015-08-19,4.86,5.00,4.86,4.90,3700,4.90
2015-08-18,4.73,5.00,4.70,5.00,22600,5.00
2015-08-17,4.85,4.85,4.75,4.75,2700,4.75
2015-08-14,4.86,4.86,4.86,4.86,700,4.86
2015-08-13,4.91,4.91,4.859,4.859,600,4.859
2015-08-12,4.97,4.97,4.92,4.92,1000,4.92
2015-08-11,4.85,4.86,4.85,4.85,2200,4.85
2015-08-10,4.90,4.90,4.90,4.90,2900,4.90
2015-08-07,5.14,5.14,5.10,5.10,1800,5.10
2015-08-06,5.05,5.05,5.05,5.05,000,5.05
2015-08-05,5.00,5.05,4.94,5.05,3900,5.05
2015-08-04,4.93,4.93,4.91,4.91,1800,4.91
2015-08-03,4.914,4.914,4.914,4.914,200,4.914
2015-07-31,4.94,5.00,4.92,4.92,2600,4.92
2015-07-30,5.01,5.01,5.01,5.01,200,5.01
2015-07-29,5.01,5.01,4.91,5.01,3300,5.01
2015-07-28,4.73,5.00,4.73,5.00,2300,5.00
2015-07-27,5.01,5.01,4.70,4.997,2800,4.997
2015-07-24,4.95,4.95,4.85,4.86,1900,4.86
2015-07-23,4.522,5.30,4.522,5.30,8900,5.30
2015-07-22,4.63,4.64,4.57,4.627,1600,4.627
2015-07-21,4.60,4.63,4.57,4.599,2600,4.599
2015-07-20,5.05,5.10,4.50,4.50,3300,4.50
2015-07-17,5.06,5.06,5.00,5.01,23800,5.01
2015-07-16,5.05,5.05,5.05,5.05,200,5.05
2015-07-15,5.10,5.19,5.10,5.19,1100,5.19
2015-07-14,5.18,5.18,5.18,5.18,700,5.18
2015-07-13,5.02,5.17,5.02,5.05,1100,5.05
2015-07-10,4.75,5.15,4.74,5.05,8800,5.05
2015-07-09,4.83,4.83,4.45,4.74,12600,4.74
2015-07-08,4.75,4.75,4.61,4.65,6600,4.65
2015-07-07,5.014,5.014,4.84,4.84,2900,4.84
2015-07-06,5.089,5.089,5.05,5.05,1100,5.05
2015-07-02,5.35,5.39,5.05,5.155,3300,5.155
2015-07-01,5.90,5.90,5.30,5.45,17400,5.45
2015-06-30,5.41,5.60,5.26,5.26,9000,5.26
2015-06-29,4.44,5.27,4.44,4.92,5000,4.92
